Room,T_30 125.0 [s],T_30 250.0 [s],T_30 500.0 [s],T_30 1000.0 [s],T_30 2000.0 [s],T_30 4000.0 [s],T_30 8000.0 [s],"DT_40,ME [s]",Room Gain G_RG [dB],Voice Support ST_V [dB],G_RG from ST_V [dB]
Anechoic,0.08,0.05,0.05,0.06,0.06,0.06,0.09,0.07,0.0,-8.161,0.617
CalibrationRoom,0.11,0.06,0.06,0.07,0.07,0.07,2.92,0.08,0.082,-7.544,0.704
Room1,1.01,0.47,0.27,0.46,0.87,1.15,1.09,1.19,0.997,-3.488,1.607
Room2,0.49,0.67,0.68,0.41,0.55,0.83,0.83,0.82,0.904,-3.786,1.517
Room3,0.55,0.5,0.53,0.57,0.54,0.78,0.94,0.78,0.252,-6.528,0.872
Room4,2.16,1.15,0.91,0.68,0.61,0.88,1.06,0.94,0.263,-6.484,0.88
Room5,0.88,0.64,0.28,0.07,0.17,0.18,0.26,0.22,0.148,-7.138,0.768
Room6,0.57,0.54,0.46,0.56,0.61,0.77,0.76,0.75,0.641,-4.746,1.256
Room7,1.94,0.95,0.11,0.06,0.07,0.14,0.31,0.33,0.154,-7.128,0.769
Room8,0.71,0.35,0.57,0.71,1.06,1.6,1.52,1.75,0.619,-4.846,1.231
Room9,0.59,0.74,0.77,0.47,0.57,1.1,1.3,1.09,0.146,-7.158,0.764
Room10,1.06,0.7,0.37,0.11,0.07,0.29,1.89,0.33,0.032,-7.91,0.651
Room11,0.71,0.65,0.71,0.61,0.66,1.14,1.36,1.23,0.22,-6.723,0.837
Room12,0.71,0.66,0.59,0.6,0.58,0.85,1.01,0.87,0.199,-6.849,0.816
