Early reflections levels (dB SPL) for job 2
Receiver Number: 4 middle                         (x,y,z) = (25,50, -4,90, 27,50)
Refl	ms(source)	ms(direct)	63	125	250	500	1000	2000	4000	8000	Order	Azimuth(deg)	Elevation(deg)	Source	
1	51,87871	0,00000	46,00	45,99	45,98	45,95	45,91	45,81	45,43	44,00	0	-5,13	-0,95	1	
2	52,04938	0,17066	44,14	44,59	43,34	40,41	38,34	37,05	35,77	33,75	1	-5,93	-15,06	1	
3	72,44408	20,56537	17,76	23,69	29,49	32,49	35,34	37,59	39,54	38,44	1	39,75	-0,37	1	
4	72,62620	20,74748	16,54	22,93	27,18	27,28	28,08	29,11	30,17	28,17	2	40,53	-15,44	1	
5	73,79159	21,91288	25,76	28,71	31,78	35,00	37,86	40,54	41,51	39,28	1	-2,08	35,27	1	
6	74,73800	22,85929	23,91	26,91	27,44	25,62	24,30	26,26	27,65	24,83	2	-8,00	-50,62	1	
7	83,85839	31,97967	40,86	40,83	41,05	41,23	41,12	40,96	40,29	37,78	1	-5,92	57,56	1	
8	84,30453	32,42582	13,13	16,07	19,38	22,82	25,62	28,28	30,51	30,82	2	-3,88	52,51	1	
9	85,11332	33,23461	38,42	38,30	35,31	29,51	24,28	23,94	24,65	21,55	2	-24,51	-71,36	1	
10	89,76764	37,88893	40,21	40,19	40,76	40,73	40,57	39,76	38,58	35,91	1	-34,35	0,83	1	
11	89,91394	38,03523	38,36	38,79	38,11	35,18	33,01	31,13	29,09	25,85	2	-35,70	-11,20	1	
12	98,19815	46,31943	26,05	28,99	32,61	36,05	38,88	38,83	37,76	34,91	2	47,20	41,98	1	
13	98,91189	47,03318	39,37	39,34	39,91	39,88	39,71	38,89	37,64	34,72	1	5,42	2,12	1	
14	99,15435	47,27564	39,34	39,32	39,89	39,86	39,69	38,87	37,62	34,69	1	-0,14	2,15	1	
15	99,15820	47,27948	37,53	37,97	37,31	34,37	31,94	29,73	27,63	24,12	2	4,76	-18,33	1	
16	99,24567	47,36696	25,14	28,05	28,93	27,03	24,71	23,63	23,36	19,92	3	57,40	-55,73	1	
17	99,39640	47,51769	37,50	37,94	37,29	34,35	31,93	29,74	27,63	24,11	2	-1,06	-17,93	1	
18	99,80907	47,93036	38,58	38,54	39,44	39,47	39,15	38,15	36,75	33,61	2	5,38	-2,90	1	
19	99,93516	48,05645	35,43	36,96	36,79	33,91	31,59	29,56	27,34	23,66	3	5,04	-13,32	1	
20	100,04936	48,17065	38,56	38,52	39,42	39,45	39,13	38,12	36,72	33,58	2	-0,14	-2,85	1	
21	100,17151	48,29280	35,03	36,57	36,77	33,89	31,56	29,54	27,33	23,65	3	-0,59	-12,95	1	
22	104,59125	52,71254	36,04	36,47	36,41	33,47	30,92	28,07	25,42	21,57	3	15,59	-18,68	1	
23	116,73572	64,85701	36,31	36,25	37,19	37,68	37,33	36,60	35,25	31,70	3	-37,39	44,37	1	
24	120,87222	68,99351	36,71	36,67	37,28	37,70	37,50	36,94	35,71	32,23	2	-47,92	36,98	1	
25	121,76455	69,88584	34,83	34,88	33,08	28,61	24,39	23,02	22,21	18,14	3	-60,55	-42,27	1	
26	122,56002	70,68130	36,48	36,44	37,60	37,58	37,29	35,79	33,85	30,08	2	46,14	1,10	1	
27	122,76316	70,88445	34,64	35,06	34,99	32,07	29,68	26,92	24,08	19,73	3	47,26	-15,71	1	
28	123,28522	71,40651	34,52	35,12	36,46	34,12	36,69	35,08	32,98	29,01	3	45,86	-2,95	1	
29	125,86832	73,98961	35,65	35,60	36,53	37,01	36,66	35,91	34,50	30,69	3	-48,29	40,30	1	
30	127,74552	75,86681	-3,66	2,24	8,71	15,23	20,81	26,02	30,76	30,63	3	4,20	26,89	1	
31	130,47342	78,59471	-0,29	5,60	12,08	18,60	24,17	29,38	33,13	30,34	3	3,97	34,35	1	
32	139,76075	87,88203	35,34	35,30	36,45	36,42	36,12	34,59	32,52	28,28	2	-34,07	2,18	1	
33	139,93621	88,05750	33,49	33,91	33,82	30,90	28,56	25,87	22,90	18,08	3	-35,69	-12,26	1	
34	140,39713	88,51842	31,15	31,76	33,08	30,74	33,30	33,89	31,67	27,22	3	-33,88	-1,38	1	
35	144,40542	92,52671	32,78	32,62	29,76	23,98	18,47	18,13	18,50	13,57	3	-74,89	85,36	1	
36	144,71102	92,83230	6,60	9,52	13,56	17,03	19,68	21,27	22,31	20,99	3	-30,80	15,86	1	
37	145,42593	93,54722	33,37	33,72	32,70	29,13	25,60	23,78	22,12	17,39	3	-167,66	32,53	1	
38	167,80381	115,92510	6,43	12,32	20,09	23,27	25,85	26,65	26,87	23,75	3	39,72	2,26	1	
39	182,78134	130,90263	31,98	31,92	33,66	33,63	33,19	30,95	28,05	22,43	3	-26,21	3,13	1	
