Early reflections levels (dB SPL) for job 1
Receiver Number: 3 R03                            (x,y,z) = (5,87, -2,72, 1,27)
Refl	ms(source)	ms(direct)	63	125	250	500	1000	2000	4000	8000	Order	Azimuth(deg)	Elevation(deg)	Source	
1	13,18054	0,00000	53,87	53,87	53,86	53,86	53,85	53,82	53,74	53,42	0	41,79	0,58	1	
2	21,69028	8,50974	48,99	48,97	49,32	49,18	48,91	48,48	48,11	47,33	1	47,99	0,05	1	
3	27,34407	14,16353	46,83	46,80	47,26	47,29	46,98	46,58	46,18	45,26	1	119,72	1,50	1	
4	36,32534	23,14481	43,28	43,59	44,04	44,49	44,36	43,95	43,40	42,49	1	21,19	78,47	1	
5	38,04129	24,86076	42,79	43,02	43,02	41,65	39,52	37,36	36,04	34,65	2	27,92	-81,53	1	
6	40,21474	27,03420	41,66	42,01	42,32	40,82	38,44	35,88	34,32	32,62	3	48,14	-64,52	1	
7	40,31691	27,13637	41,75	41,66	42,11	40,15	37,34	34,86	33,01	31,06	3	52,50	-11,96	1	
8	41,56993	28,38939	41,56	41,92	42,65	42,97	42,58	41,77	40,95	39,66	2	39,98	69,49	1	
9	43,21683	30,03630	41,13	41,41	41,70	40,19	37,81	35,24	33,66	31,89	3	45,58	-72,35	1	
10	43,41295	30,23241	41,02	41,29	41,94	42,40	42,11	41,34	40,46	39,13	2	-1,01	83,10	1	
11	45,14761	31,96707	40,59	40,77	40,99	39,62	37,33	34,81	33,17	31,35	3	-1,73	-86,15	1	
12	47,62845	34,44791	40,74	40,68	41,67	41,57	40,84	39,66	38,62	36,70	3	117,95	55,65	1	
13	47,89088	34,71034	38,92	39,22	40,31	40,55	39,39	38,00	36,78	35,06	3	34,66	75,88	1	
14	47,94104	34,76051	41,40	41,38	41,85	41,61	40,71	40,02	39,40	37,96	1	-17,25	-0,91	1	
15	50,22494	37,04441	10,12	35,56	39,89	40,14	38,97	37,58	36,34	34,56	3	114,87	60,57	1	
16	58,68686	45,50632	37,83	38,34	39,08	39,31	38,29	37,23	36,22	34,50	2	-25,50	36,25	1	
17	59,76418	46,58364	33,66	37,06	38,31	36,71	33,69	30,89	29,12	26,93	3	-26,48	-40,13	1	
18	62,06993	48,88939	36,40	37,28	38,38	38,47	37,20	35,74	34,48	32,42	3	-16,15	37,80	1	
19	68,09889	54,91835	37,65	37,60	38,53	38,34	37,12	36,04	35,06	32,88	2	136,65	1,35	1	
20	75,07172	61,89119	36,80	36,75	37,68	37,48	36,26	35,17	34,15	31,80	2	-22,87	-1,02	1	
21	76,04776	62,86722	34,85	35,35	36,56	36,83	35,50	34,07	32,71	30,31	3	142,33	29,17	1	
22	76,34312	63,16258	34,96	35,62	35,95	35,02	32,76	30,18	28,30	25,96	3	-115,46	58,87	1	
23	77,02437	63,84383	36,53	36,47	37,38	37,13	35,57	34,09	32,82	30,17	3	-16,47	-1,08	1	
24	82,35027	69,16973	34,15	34,65	35,87	36,13	34,80	33,35	31,96	29,41	3	-28,12	24,48	1	
25	95,51346	82,33293	34,00	33,93	35,32	35,16	33,63	32,15	30,77	27,67	3	139,76	1,31	1	
26	117,36591	104,18538	31,67	31,59	33,00	32,56	30,44	28,68	27,07	23,42	3	-26,39	-1,09	1	
