Early reflections levels (dB SPL) for job 2
Receiver Number: 1 R1                             (x,y,z) = (7,20, -1,80, 1,00)
Refl	ms(source)	ms(direct)	63	125	250	500	1000	2000	4000	8000	Order	Azimuth(deg)	Elevation(deg)	Source	
1	19,92675	0,00000	44,31	44,31	44,30	44,29	44,28	44,24	44,09	43,54	0	-24,17	0,00	1	
2	22,03113	2,10438	39,19	40,91	40,98	40,84	40,24	39,58	39,10	38,16	1	-23,21	19,98	1	
3	22,79061	2,86387	13,68	25,70	30,25	33,16	35,63	37,40	36,38	35,13	2	-26,05	-35,40	1	
4	24,55706	4,63031	34,40	39,11	40,92	40,81	40,64	39,83	39,04	37,76	2	40,65	-23,63	1	
5	25,00097	5,07422	38,34	41,29	42,06	42,07	41,65	41,12	40,65	39,66	1	43,35	0,00	1	
6	25,32955	5,40280	41,67	41,65	41,99	41,82	41,44	40,87	40,40	39,40	1	-18,80	-1,48	1	
7	26,70850	6,78175	32,39	38,45	39,14	39,28	38,40	37,28	36,47	35,10	2	42,05	16,37	1	
8	27,01632	7,08957	35,20	38,53	39,09	39,06	38,24	37,07	36,26	34,88	2	-18,20	14,74	1	
9	27,33835	7,41160	6,27	21,91	27,13	30,32	32,46	33,81	33,88	32,21	3	45,80	-28,88	1	
10	28,40425	8,47750	37,35	40,30	41,00	40,82	40,44	39,87	39,37	38,29	1	-50,20	0,00	1	
11	28,98966	9,06291	16,03	27,65	31,60	34,10	34,05	32,36	30,97	29,26	3	-27,64	-52,66	1	
12	29,40294	9,47620	33,10	38,44	40,28	40,12	39,44	38,39	37,56	36,14	2	-51,97	-19,56	1	
13	29,48829	9,56154	34,42	37,35	40,40	40,24	39,46	38,41	37,62	36,21	2	35,60	-1,27	1	
14	29,91817	9,99142	37,04	38,14	38,34	38,47	37,69	36,54	35,70	34,25	2	-48,91	14,57	1	
15	30,48177	10,55502	7,24	19,28	24,09	27,29	29,51	30,82	32,46	31,42	3	-52,59	-25,67	1	
16	30,94923	11,02248	27,51	34,54	37,64	37,77	36,67	35,05	33,92	32,14	3	34,66	12,83	1	
17	31,91457	11,98783	35,92	36,78	36,47	35,78	34,39	32,70	31,53	29,74	3	-17,46	31,59	1	
18	32,34770	12,42095	39,27	40,03	40,00	39,87	39,44	38,86	38,34	37,14	1	-165,17	9,85	1	
19	32,42394	12,49720	35,40	38,33	39,34	39,28	38,40	37,20	36,40	34,90	2	-42,32	-1,16	1	
20	33,65459	13,72784	13,93	19,25	22,20	25,00	27,14	29,05	31,24	32,72	2	57,30	0,00	1	
21	33,68485	13,75810	30,17	34,74	37,30	37,52	36,86	35,73	34,87	33,31	2	-164,77	22,81	1	
22	33,75807	13,83133	34,30	36,49	37,06	37,11	36,10	34,45	33,31	31,44	3	-41,32	11,75	1	
23	34,40575	14,47900	35,25	36,19	36,01	35,40	34,03	32,34	31,15	29,29	3	-47,30	30,33	1	
24	35,69799	15,77125	36,61	38,45	38,87	38,76	37,92	36,86	36,03	34,44	2	150,88	8,91	1	
25	36,91398	16,98724	26,26	32,32	36,00	36,50	35,52	33,96	32,79	30,84	3	150,19	20,72	1	
26	38,00504	18,07829	37,34	38,05	38,37	38,07	37,29	36,17	35,33	33,67	2	-167,43	9,37	1	
27	38,15887	18,23212	29,08	34,39	37,72	38,04	37,25	36,14	35,29	33,63	2	-144,69	8,33	1	
28	39,05585	19,12911	34,53	37,60	38,00	37,77	36,53	34,94	33,80	31,82	3	52,13	-0,96	1	
29	39,14943	19,22269	26,61	31,23	34,81	35,86	34,98	33,40	32,22	30,21	3	-167,14	20,50	1	
30	39,29879	19,37204	27,13	35,66	35,84	36,01	35,08	33,50	32,33	30,31	3	-143,93	19,41	1	
31	40,89445	20,96770	31,17	34,08	37,47	37,18	35,99	34,40	33,24	31,21	3	154,88	8,70	1	
32	43,05936	23,13261	26,97	31,89	35,57	36,45	35,45	33,81	32,64	30,55	3	-149,19	8,26	1	
33	43,93344	24,00669	31,22	34,34	36,84	36,56	35,36	33,76	32,59	30,47	3	134,98	7,23	1	
34	50,52841	30,60166	29,19	35,04	35,85	35,72	34,88	33,79	32,85	30,85	2	-68,91	0,00	1	
35	51,39470	31,46795	21,09	28,31	31,98	33,61	32,83	31,45	30,24	27,89	3	-68,02	8,42	1	
36	52,89263	32,96589	22,76	30,39	35,09	34,76	33,60	31,99	30,74	28,38	3	-63,05	-0,71	1	
37	56,58991	36,66317	24,08	31,54	34,77	34,53	33,28	31,66	30,39	27,92	3	-123,17	5,61	1	
38	57,32913	37,40238	2,72	11,57	18,62	22,82	24,54	25,93	27,66	27,78	3	17,47	-4,11	1	
39	63,46946	43,54271	25,43	32,08	33,36	33,34	32,00	30,26	28,94	26,29	3	-73,36	0,00	1	
40	73,00682	53,08007	11,09	26,39	31,67	31,28	30,58	29,11	27,72	24,81	3	-17,45	-4,55	1	
41	73,67500	53,74825	23,93	29,83	32,61	32,29	31,48	30,30	29,19	26,55	2	-6,38	-4,82	1	
42	74,27181	54,34506	15,16	22,17	26,53	29,67	29,50	28,20	26,99	24,05	3	-6,31	1,04	1	
43	79,46720	59,54045	22,49	28,36	31,72	31,24	30,07	28,35	26,92	23,82	3	-5,91	-4,94	1	
44	86,77211	66,84536	21,38	27,75	31,09	30,65	29,43	27,70	26,21	22,91	3	-174,55	7,76	1	
